row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target_name,description_of_target
TRINITY_DN1892_c0_g1,4.867559521,4.188208075,3.224569124,1.298842702,0.193997917,NA,Hsp90 protein,Heat shock protein
TRINITY_DN13732_c0_g1,3.612357406,5.322670717,4.106804282,1.296061451,0.194954315,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1386226_c0_g1,3.612357406,5.322670717,4.106804282,1.296061451,0.194954315,NA,Hsp70 protein,Heat shock protein
TRINITY_DN41803_c0_g1,3.612357406,5.322670717,4.106804282,1.296061451,0.194954315,NA,Hsp70 protein,Heat shock protein
TRINITY_DN723576_c0_g1,3.612357406,5.322670717,4.106804282,1.296061451,0.194954315,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN24743_c0_g1,17.17174296,3.496981079,2.701709289,1.294358758,0.195541529,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN14536_c0_g1,28.68878207,-4.054180574,3.136615545,-1.29253347,0.196172463,NA,Heat induced stress protein YflT domain,Stress
TRINITY_DN3085_c0_g1,13.28894142,4.167626793,3.225638364,1.29203163,0.196346191,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1149854_c0_g1,3.382032685,-5.366212452,4.156082973,-1.291170674,0.196644502,NA,Universal stress protein family,Stress
TRINITY_DN169845_c0_g1,3.382032685,-5.366212452,4.156082973,-1.291170674,0.196644502,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN31170_c0_g1,3.382032685,-5.366212452,4.156082973,-1.291170674,0.196644502,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN318262_c0_g1,2.634365457,-5.008448256,3.88072001,-1.290597684,0.19684322,NA,13-beta-glucan synthase component,13-beta-glucan synthase
TRINITY_DN14609_c0_g1,4.976423057,4.221576806,3.287884094,1.283979813,0.199149019,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1356114_c0_g1,22.82315367,3.494021569,2.726377899,1.281561727,0.199996433,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN414_c1_g3,23.41677323,2.945128617,2.301664969,1.279564427,0.200698367,NA,Hsp70 protein,Heat shock protein
TRINITY_DN65662_c0_g1,16.35942332,-3.424273913,2.679964507,-1.277731069,0.201344267,NA,Hsp70 protein,Heat shock protein
TRINITY_DN14146_c0_g1,10.74467322,-3.532048812,2.767357733,-1.276325345,0.201840534,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1101169_c0_g1,2.736429882,4.919951892,3.855742754,1.27600626,0.201953306,NA,Universal stress protein family,Stress
TRINITY_DN264356_c0_g1,2.736429882,4.919951892,3.855742754,1.27600626,0.201953306,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1244264_c0_g1,3.49825841,5.274036669,4.134784199,1.275528882,0.202122108,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN55029_c2_g1,3.49825841,5.274036669,4.134784199,1.275528882,0.202122108,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN2978_c0_g1,28.41426494,-3.475867602,2.728460458,-1.27392999,0.202688229,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN13732_c4_g1,2.757155498,4.930580438,3.872767707,1.273141281,0.202967913,NA,Hsp90 protein,Heat shock protein
TRINITY_DN522270_c0_g1,4.343262906,-4.172533798,3.281975316,-1.271348318,0.20360476,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1413421_c0_g1,3.244318657,-5.309573395,4.1800927,-1.2702047,0.204011724,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1440348_c0_g1,3.244318657,-5.309573395,4.1800927,-1.2702047,0.204011724,NA,Universal stress protein family,Stress
TRINITY_DN258663_c0_g1,3.244318657,-5.309573395,4.1800927,-1.2702047,0.204011724,NA,Hsp70 protein,Heat shock protein
TRINITY_DN537530_c0_g1,3.244318657,-5.309573395,4.1800927,-1.2702047,0.204011724,NA,Heat shock protein 9/12,Heat shock protein
TRINITY_DN563887_c0_g1,3.244318657,-5.309573395,4.1800927,-1.2702047,0.204011724,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN82222_c1_g1,3.244318657,-5.309573395,4.1800927,-1.2702047,0.204011724,NA,Hsp70 protein,Heat shock protein
TRINITY_DN172066_c0_g1,2.674253037,4.887648404,3.850944814,1.269207594,0.204367033,NA,Hsp70 protein,Heat shock protein
TRINITY_DN76268_c0_g1,9.982449004,3.725925844,2.937978163,1.268193852,0.204728732,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN16275_c0_g1,16.85562328,3.468055576,2.736199394,1.267471802,0.20498664,NA,Hsp70 protein,Heat shock protein
TRINITY_DN47271_c0_g2,18.36732923,3.360566312,2.652939271,1.266733223,0.205250696,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN33386_c1_g1,2.653527422,4.876726127,3.858615631,1.263853826,0.206282498,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN113793_c0_g3,3.399865794,5.235249768,4.150186011,1.261449428,0.20714697,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN120221_c0_g1,3.399865794,5.235249768,4.150186011,1.261449428,0.20714697,NA,Universal stress protein family,Stress
TRINITY_DN22267_c0_g1,3.399865794,5.235249768,4.150186011,1.261449428,0.20714697,NA,Hsp90 protein,Heat shock protein
TRINITY_DN2732_c2_g1,3.399865794,5.235249768,4.150186011,1.261449428,0.20714697,NA,Hsp70 protein,Heat shock protein
TRINITY_DN37886_c0_g1,3.399865794,5.235249768,4.150186011,1.261449428,0.20714697,NA,Hsp70 protein,Heat shock protein
TRINITY_DN543268_c0_g1,3.399865794,5.235249768,4.150186011,1.261449428,0.20714697,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN629650_c0_g1,3.399865794,5.235249768,4.150186011,1.261449428,0.20714697,NA,Hsp70 protein,Heat shock protein
TRINITY_DN79681_c0_g2,3.399865794,5.235249768,4.150186011,1.261449428,0.20714697,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN940750_c0_g1,3.399865794,5.235249768,4.150186011,1.261449428,0.20714697,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1019268_c0_g1,4.434882599,4.118290387,3.264851305,1.261402129,0.207164002,NA,Hsp70 protein,Heat shock protein
TRINITY_DN15143_c0_g2,2.544724977,-4.955931257,3.935199072,-1.259385146,0.207891252,NA,Hsp70 protein,Heat shock protein
TRINITY_DN708220_c0_g1,2.516305663,-4.940174517,3.923648273,-1.259076801,0.208002593,NA,Trehalose-phosphatase,Trehalose
TRINITY_DN12927_c0_g1,18.54055994,-3.377986248,2.687093864,-1.257115091,0.208711963,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN11209_c0_g1,2.632801806,4.865720521,3.871236625,1.256890496,0.208793291,NA,Hsp70 protein,Heat shock protein
TRINITY_DN83099_c0_g2,13.14149691,-3.164117344,2.518016824,-1.256591026,0.208901766,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN51178_c0_g1,14.58053962,-3.529772029,2.810711949,-1.25582845,0.209178174,NA,Hsp70 protein,Heat shock protein
TRINITY_DN25342_c0_g1,2.48788635,-4.924264868,3.922625106,-1.255349348,0.209351968,NA,Hsp90 protein,Heat shock protein
TRINITY_DN31840_c0_g3,2.48788635,-4.924264868,3.922625106,-1.255349348,0.209351968,NA,Hsp70 protein,Heat shock protein
TRINITY_DN297699_c0_g1,2.57314429,-4.971559917,3.972163199,-1.251600115,0.210715613,NA,Peroxide stress protein YaaA,Stress
TRINITY_DN153159_c0_g1,2.459467037,-4.908189563,3.928165025,-1.2494866,0.211487151,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN20713_c0_g1,2.459467037,-4.908189563,3.928165025,-1.2494866,0.211487151,NA,Hsp70 protein,Heat shock protein
TRINITY_DN942918_c0_g1,2.459467037,-4.908189563,3.928165025,-1.2494866,0.211487151,NA,Hsp70 protein,Heat shock protein
TRINITY_DN9850_c0_g1,24.12104464,-3.922997198,3.139945173,-1.24938398,0.211524665,NA,Hsp90 protein,Heat shock protein
TRINITY_DN10541_c0_g2,2.612076191,4.854627589,3.889430402,1.248159007,0.211972833,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN2051_c2_g2,5.857369817,4.461989473,3.580747288,1.246105663,0.212725606,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1162381_c0_g1,3.121876324,-5.250655761,4.21660322,-1.245233541,0.213045917,NA,Hsp70 protein,Heat shock protein
TRINITY_DN296466_c0_g1,3.121876324,-5.250655761,4.21660322,-1.245233541,0.213045917,NA,Trehalose-phosphatase,Trehalose
TRINITY_DN65821_c0_g1,3.121876324,-5.250655761,4.21660322,-1.245233541,0.213045917,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN69361_c0_g1,3.121876324,-5.250655761,4.21660322,-1.245233541,0.213045917,NA,Hsp90 protein,Heat shock protein
TRINITY_DN774655_c0_g1,3.121876324,-5.250655761,4.21660322,-1.245233541,0.213045917,NA,Stress-induced bacterial acidophilic repeat motif,Stress
TRINITY_DN24189_c0_g2,5.784938275,4.445264159,3.579847841,1.241746677,0.214330042,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN626_c0_g2,2.431047723,-4.891939312,3.940687123,-1.241392468,0.2144608,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1892_c0_g2,29.58237813,-2.857780689,2.302431729,-1.241201054,0.214531486,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1339475_c0_g1,4.139945172,-4.098683423,3.302993425,-1.240899662,0.214642818,NA,Hsp70 protein,Heat shock protein
TRINITY_DN693003_c0_g1,23.76125804,3.557720116,2.870243758,1.239518458,0.215153558,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN11716_c1_g1,56.7703423,2.8065066,2.267071797,1.237943414,0.215737043,0.920591082,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN6378_c0_g1,15.29284974,-3.453427775,2.790399754,-1.237610407,0.215860554,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN8752_c0_g1,72.33859449,2.681847002,2.167593274,1.237246412,0.215995616,0.920591082,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN2382_c0_g1,20.48342227,2.978741989,2.408766471,1.236625478,0.216226157,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1043256_c0_g1,3.265041183,5.17445093,4.185684883,1.23622563,0.216374706,NA,Hsp70 protein,Heat shock protein
TRINITY_DN43289_c0_g1,63.69549672,2.997207933,2.426554173,1.235170419,0.216767086,0.920591082,Universal stress protein family,Stress
TRINITY_DN43712_c0_g1,6.128768918,-3.73317246,3.026195687,-1.233618988,0.217344914,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN2336_c0_g1,16.73576432,3.288509793,2.676862435,1.228494132,0.219261531,NA,Hsp90 protein,Heat shock protein
TRINITY_DN42958_c0_g1,11.42193964,3.491076383,2.841881497,1.228438408,0.219282437,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN59549_c0_g1,21.86262728,3.239478307,2.637660721,1.22816338,0.219385643,NA,Universal stress protein family,Stress
TRINITY_DN556839_c0_g1,9.331839492,3.466375242,2.823779657,1.227565768,0.219610019,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN107730_c0_g1,3.01258161,-5.202730021,4.238856399,-1.227390015,0.219676037,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1164297_c0_g1,3.01258161,-5.202730021,4.238856399,-1.227390015,0.219676037,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN14116_c0_g1,3.01258161,-5.202730021,4.238856399,-1.227390015,0.219676037,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1417294_c0_g1,3.01258161,-5.202730021,4.238856399,-1.227390015,0.219676037,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN244572_c0_g1,3.01258161,-5.202730021,4.238856399,-1.227390015,0.219676037,NA,Universal stress protein family,Stress
TRINITY_DN52651_c0_g1,3.01258161,-5.202730021,4.238856399,-1.227390015,0.219676037,NA,Hsp70 protein,Heat shock protein
TRINITY_DN60092_c0_g1,3.01258161,-5.202730021,4.238856399,-1.227390015,0.219676037,NA,Hsp70 protein,Heat shock protein
TRINITY_DN957444_c0_g1,3.01258161,-5.202730021,4.238856399,-1.227390015,0.219676037,NA,Hsp70 protein,Heat shock protein
TRINITY_DN2229_c16_g2,27.70997973,3.168624437,2.584286865,1.226111729,0.220156633,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1020130_c0_g1,3.187374182,5.14218582,4.198170341,1.224863548,0.220626637,NA,Hsp70 protein,Heat shock protein
TRINITY_DN247148_c0_g1,3.187374182,5.14218582,4.198170341,1.224863548,0.220626637,NA,Hsp70 protein,Heat shock protein
TRINITY_DN278541_c0_g1,3.187374182,5.14218582,4.198170341,1.224863548,0.220626637,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN52563_c0_g1,3.187374182,5.14218582,4.198170341,1.224863548,0.220626637,NA,Hsp90 protein,Heat shock protein
TRINITY_DN543984_c0_g1,3.187374182,5.14218582,4.198170341,1.224863548,0.220626637,NA,Hsp70 protein,Heat shock protein
TRINITY_DN66972_c0_g1,3.187374182,5.14218582,4.198170341,1.224863548,0.220626637,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN748062_c0_g1,3.187374182,5.14218582,4.198170341,1.224863548,0.220626637,NA,Trehalose utilisation,Trehalose
TRINITY_DN11306_c0_g1,13.9220817,-3.304037613,2.704247916,-1.221795381,0.221785016,NA,Hsp70 protein,Heat shock protein
TRINITY_DN39690_c0_g1,4.333712761,4.008460871,3.28629257,1.219751676,0.222559025,NA,Hsp70 protein,Heat shock protein
TRINITY_DN294271_c0_g1,2.570624961,4.832137881,3.970231374,1.217092261,0.223569115,NA,Putative stress-induced transcription regulator,Stress
TRINITY_DN14162_c0_g1,21.1535952,-2.898829482,2.386747128,-1.214552412,0.224536848,NA,Hsp70 protein,Heat shock protein
TRINITY_DN21916_c1_g1,4.395889607,4.02930431,3.31773607,1.214474034,0.224566759,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN626_c6_g1,112.8180739,3.191505608,2.629280018,1.213832527,0.224811683,0.935525932,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN241008_c0_g1,10.69632689,3.387168632,2.791987677,1.213174635,0.22506306,NA,Hsp70 protein,Heat shock protein
TRINITY_DN20543_c0_g1,51.31915312,2.680653894,2.212764019,1.211450417,0.225722827,0.935525932,Universal stress protein family,Stress
TRINITY_DN43293_c0_g2,4.139488526,4.014090623,3.324836334,1.207304727,0.227314811,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN37922_c0_g1,8.138318279,-3.547305714,2.939965877,-1.206580574,0.227593712,NA,Cysteine-rich TM module stress tolerance,Stress
TRINITY_DN14718_c0_g1,4.078724006,-4.073028783,3.376746249,-1.206199247,0.227740674,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1133811_c0_g1,12.50805382,-3.288644636,2.733551804,-1.203066513,0.228950583,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN159160_c0_g1,4.118762911,4.00667847,3.343617027,1.198306636,0.230797664,NA,ATP-dependent RNA helicase RhlB,RNA helicase
TRINITY_DN16801_c0_g1,6.739613617,3.741427332,3.123359201,1.197885703,0.230961516,NA,Hsp90 protein,Heat shock protein
TRINITY_DN189609_c0_g1,2.345789783,-4.84201101,4.044051649,-1.197316807,0.231183096,NA,Hsp90 protein,Heat shock protein
TRINITY_DN4188_c5_g1,7.435224121,3.209926718,2.685198043,1.195415261,0.231924826,NA,Hsp70 protein,Heat shock protein
TRINITY_DN101494_c0_g1,4.009899375,3.964519952,3.317049847,1.195194566,0.232011021,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1180095_c0_g1,2.861719964,-5.125038349,4.288184614,-1.195153383,0.232027108,NA,Hsp90 protein,Heat shock protein
TRINITY_DN13102_c0_g1,2.861719964,-5.125038349,4.288184614,-1.195153383,0.232027108,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1354913_c0_g1,2.861719964,-5.125038349,4.288184614,-1.195153383,0.232027108,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1409065_c0_g1,2.861719964,-5.125038349,4.288184614,-1.195153383,0.232027108,NA,Hsp70 protein,Heat shock protein
TRINITY_DN15455_c5_g1,2.861719964,-5.125038349,4.288184614,-1.195153383,0.232027108,NA,Hsp70 protein,Heat shock protein
TRINITY_DN16421_c0_g1,2.861719964,-5.125038349,4.288184614,-1.195153383,0.232027108,NA,Hsp70 protein,Heat shock protein
TRINITY_DN223743_c0_g1,2.861719964,-5.125038349,4.288184614,-1.195153383,0.232027108,NA,Hsp70 protein,Heat shock protein
TRINITY_DN22463_c0_g1,2.861719964,-5.125038349,4.288184614,-1.195153383,0.232027108,NA,Heat induced stress protein YflT domain,Stress
TRINITY_DN24189_c0_g1,2.861719964,-5.125038349,4.288184614,-1.195153383,0.232027108,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN24191_c0_g1,2.861719964,-5.125038349,4.288184614,-1.195153383,0.232027108,NA,Hsp70 protein,Heat shock protein
TRINITY_DN31840_c4_g1,2.861719964,-5.125038349,4.288184614,-1.195153383,0.232027108,NA,Hsp70 protein,Heat shock protein
TRINITY_DN42427_c0_g1,2.861719964,-5.125038349,4.288184614,-1.195153383,0.232027108,NA,Hsp70 protein,Heat shock protein
TRINITY_DN491821_c0_g1,2.861719964,-5.125038349,4.288184614,-1.195153383,0.232027108,NA,Universal stress protein family,Stress
TRINITY_DN5777_c1_g1,2.861719964,-5.125038349,4.288184614,-1.195153383,0.232027108,NA,Hsp70 protein,Heat shock protein
TRINITY_DN596346_c0_g1,2.861719964,-5.125038349,4.288184614,-1.195153383,0.232027108,NA,Hsp70 protein,Heat shock protein
TRINITY_DN816406_c0_g1,2.861719964,-5.125038349,4.288184614,-1.195153383,0.232027108,NA,Hsp90 protein,Heat shock protein
TRINITY_DN330964_c0_g1,2.399584579,4.732160251,3.96193221,1.194407173,0.232318732,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1363941_c0_g1,3.031823955,5.067480861,4.243082518,1.194292319,0.232363641,NA,Stress-induced bacterial acidophilic repeat motif,Stress
TRINITY_DN34075_c0_g1,3.031823955,5.067480861,4.243082518,1.194292319,0.232363641,NA,Hsp70 protein,Heat shock protein
TRINITY_DN614253_c0_g1,3.031823955,5.067480861,4.243082518,1.194292319,0.232363641,NA,Hsp70 protein,Heat shock protein
TRINITY_DN63756_c0_g1,3.031823955,5.067480861,4.243082518,1.194292319,0.232363641,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN804757_c0_g1,4.916031714,-4.354159407,3.650812317,-1.192654957,0.233004533,NA,Universal stress protein family,Stress
TRINITY_DN49820_c0_g1,2.284568616,-4.800364787,4.028964579,-1.191463636,0.233471624,NA,Hsp70 protein,Heat shock protein
TRINITY_DN33856_c0_g2,8.682915678,3.984513444,3.34441286,1.191394009,0.233498944,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN360007_c0_g1,2.256149303,-4.7828377,4.021082795,-1.189440244,0.234266472,NA,Universal stress protein family,Stress
TRINITY_DN20912_c0_g1,29.25162897,2.952860818,2.485782679,1.187899829,0.234872877,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN17760_c0_g1,9.07030571,3.577277282,3.011627004,1.187822156,0.234903483,NA,Hsp90 protein,Heat shock protein
TRINITY_DN20834_c0_g1,14.39000381,3.437512322,2.895176035,1.187324114,0.2350998,NA,Hsp70 protein,Heat shock protein
TRINITY_DN689075_c0_g1,2.31298793,-4.817726341,4.062498684,-1.185902253,0.235660903,NA,Universal stress protein family,Stress
TRINITY_DN994384_c0_g1,2.31298793,-4.817726341,4.062498684,-1.185902253,0.235660903,NA,Universal stress protein family,Stress
TRINITY_DN1237_c2_g2,8.110854645,-3.415713503,2.880520315,-1.185797401,0.235702318,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1190589_c0_g1,2.97488257,5.042698372,4.2534274,1.185561171,0.235795644,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1373078_c0_g1,2.97488257,5.042698372,4.2534274,1.185561171,0.235795644,NA,Hsp70 protein,Heat shock protein
TRINITY_DN564694_c0_g1,2.97488257,5.042698372,4.2534274,1.185561171,0.235795644,NA,Hsp90 protein,Heat shock protein
TRINITY_DN75489_c0_g1,2.97488257,5.042698372,4.2534274,1.185561171,0.235795644,NA,Hsp70 protein,Heat shock protein
TRINITY_DN78366_c0_g1,2.97488257,5.042698372,4.2534274,1.185561171,0.235795644,NA,Hsp70 protein,Heat shock protein
TRINITY_DN283351_c0_g1,6.047777816,-3.593100723,3.035401523,-1.183731607,0.236519323,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN55553_c0_g1,2.378858964,4.719993611,3.989843258,1.183002265,0.23680825,NA,Hsp70 protein,Heat shock protein
TRINITY_DN3826_c0_g1,5.966902415,-3.574027549,3.024303248,-1.181768909,0.237297408,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1410357_c0_g1,2.780844563,-5.08732988,4.306541681,-1.181302831,0.237482443,NA,Hsp90 protein,Heat shock protein
TRINITY_DN34113_c0_g2,2.780844563,-5.08732988,4.306541681,-1.181302831,0.237482443,NA,Hsp70 protein,Heat shock protein
TRINITY_DN384884_c0_g1,2.780844563,-5.08732988,4.306541681,-1.181302831,0.237482443,NA,Hsp70 protein,Heat shock protein
TRINITY_DN463794_c0_g1,2.780844563,-5.08732988,4.306541681,-1.181302831,0.237482443,NA,Hsp70 protein,Heat shock protein
TRINITY_DN52730_c0_g1,2.780844563,-5.08732988,4.306541681,-1.181302831,0.237482443,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN551928_c0_g1,2.780844563,-5.08732988,4.306541681,-1.181302831,0.237482443,NA,Hsp90 protein,Heat shock protein
TRINITY_DN68114_c0_g1,2.780844563,-5.08732988,4.306541681,-1.181302831,0.237482443,NA,Hsp70 protein,Heat shock protein
TRINITY_DN785167_c0_g1,2.780844563,-5.08732988,4.306541681,-1.181302831,0.237482443,NA,Hsp70 protein,Heat shock protein
TRINITY_DN806658_c0_g1,2.780844563,-5.08732988,4.306541681,-1.181302831,0.237482443,NA,Hsp90 protein,Heat shock protein
TRINITY_DN90456_c0_g1,2.780844563,-5.08732988,4.306541681,-1.181302831,0.237482443,NA,Hsp70 protein,Heat shock protein
TRINITY_DN9977_c0_g4,2.780844563,-5.08732988,4.306541681,-1.181302831,0.237482443,NA,Hsp70 protein,Heat shock protein
TRINITY_DN6747_c0_g1,37.16370142,-2.780202376,2.354529531,-1.180788918,0.237686588,0.96805076,Universal stress protein family,Stress
TRINITY_DN1315569_c0_g1,17.70003809,-3.360736065,2.848696537,-1.1797452,0.238101571,NA,Pro-melanin-concentrating hormone (Pro-MCH),Melanin
TRINITY_DN54989_c0_g1,57.40130701,2.796972215,2.376372615,1.176992277,0.239198589,0.96805076,Hsp70 protein,Heat shock protein
TRINITY_DN1566_c0_g2,2.199310676,-4.747185969,4.0352108,-1.176440638,0.23941884,NA,Hsp90 protein,Heat shock protein
TRINITY_DN72613_c0_g1,2.199310676,-4.747185969,4.0352108,-1.176440638,0.23941884,NA,Hsp70 protein,Heat shock protein
TRINITY_DN39521_c0_g1,5.157718135,4.268555228,3.632045786,1.175248188,0.239895436,NA,Hsp70 protein,Heat shock protein
TRINITY_DN398_c1_g2,3.794530872,-3.965409419,3.380945241,-1.172870052,0.240847921,NA,Hsp70 protein,Heat shock protein
TRINITY_DN33470_c0_g1,7.674844185,-3.455421969,2.955034524,-1.169333874,0.24226914,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN25530_c0_g1,2.170891363,-4.729033669,4.054071247,-1.166490025,0.243416379,NA,Hsp70 protein,Heat shock protein
TRINITY_DN419519_c0_g1,2.170891363,-4.729033669,4.054071247,-1.166490025,0.243416379,NA,Aft1 osmotic stress response (OSM) domain,Stress
TRINITY_DN981269_c0_g1,2.170891363,-4.729033669,4.054071247,-1.166490025,0.243416379,NA,Hsp70 protein,Heat shock protein
TRINITY_DN14224_c0_g1,91.40390954,2.691286466,2.309128319,1.165498878,0.243817114,0.973447746,Hsp70 protein,Heat shock protein
TRINITY_DN6851_c2_g3,2.358133349,4.707697202,4.042623214,1.164515453,0.244215185,NA,Hsp70 protein,Heat shock protein
TRINITY_DN49179_c0_g1,16.24558969,3.696160324,3.174715859,1.164249176,0.244323047,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1184295_c0_g1,3.797407763,3.881002813,3.347777592,1.159277373,0.246343142,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1861_c2_g1,8.481873043,3.314866238,2.861274112,1.158528022,0.246648623,NA,Hsp70 protein,Heat shock protein
TRINITY_DN4934_c8_g1,10.2515961,2.926973683,2.526644145,1.158443182,0.246683226,NA,Hsp90 protein,Heat shock protein
TRINITY_DN11651_c0_g2,2.269995428,4.650437304,4.015613411,1.158088897,0.246827761,NA,Hsp70 protein,Heat shock protein
TRINITY_DN718564_c0_g1,2.290721043,4.663200835,4.027775135,1.157760967,0.246961596,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN6475_c0_g1,36.302344,-2.71038511,2.344184554,-1.156216607,0.247592569,0.973447746,Hsp70 protein,Heat shock protein
TRINITY_DN75475_c0_g1,14.32623332,3.209680361,2.780323954,1.154426755,0.248325251,NA,Hsp90 protein,Heat shock protein
TRINITY_DN5635_c1_g1,21.79364368,-3.630547066,3.146408483,-1.153870226,0.248553378,NA,Hsp90 protein,Heat shock protein
TRINITY_DN575416_c0_g1,2.142472049,-4.71064402,4.083862179,-1.153477716,0.248714359,NA,Universal stress protein family,Stress
TRINITY_DN1166_c0_g1,478.554341,2.44398643,2.120173797,1.152729287,0.249021516,0.973447746,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN47639_c0_g1,2.228544197,4.624603018,4.01867462,1.150778168,0.249823509,NA,Hsp70 protein,Heat shock protein
TRINITY_DN813077_c0_g1,2.798606728,4.951945441,4.310183837,1.148894253,0.250599588,NA,Universal stress protein family,Stress
TRINITY_DN963552_c0_g1,2.798606728,4.951945441,4.310183837,1.148894253,0.250599588,NA,Hsp90 protein,Heat shock protein
TRINITY_DN335779_c0_g1,4.383758457,-4.247323147,3.699436522,-1.148100021,0.250927276,NA,Hsp90 protein,Heat shock protein
TRINITY_DN175341_c0_g1,2.207818582,4.61151759,4.029548449,1.144425399,0.25244726,NA,Stress responsive A/B Barrel Domain,Stress
TRINITY_DN758247_c0_g1,2.207818582,4.61151759,4.029548449,1.144425399,0.25244726,NA,Heat induced stress protein YflT domain,Stress
TRINITY_DN38665_c0_g1,4.374993378,-4.240831378,3.707358938,-1.143895547,0.252666958,NA,Hsp70 protein,Heat shock protein
TRINITY_DN103004_c0_g1,7.259443639,-3.365352241,2.942977067,-1.143519696,0.252822882,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1002663_c0_g1,2.762390958,4.93583461,4.316422691,1.143501219,0.252830549,NA,Hsp70 protein,Heat shock protein
TRINITY_DN4770_c2_g1,2.762390958,4.93583461,4.316422691,1.143501219,0.252830549,NA,Hsp70 protein,Heat shock protein
TRINITY_DN12735_c0_g1,14.71193766,2.740822692,2.397387234,1.143254061,0.252933122,NA,Hsp90 protein,Heat shock protein
